II. Các ngành tuyển sinh,,,,,,,,
"Thông tin về các ngành/chương trình đào tạo, mã ngành, mã tổ hợp và chỉ tiêu tuyển sinh Trường Đại học Quy Nhơn năm 2023 như sau:",,,,,,,,
,,,,,,,,
STT,Tên ngành,Mã ngành,Tổ hợp xét tuyển,,,,,
,,,,,,,,
14,18,15,18,15,18,16,18,
Kinh tế,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,"17,5",24,
Ngôn ngữ Anh,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,16,25,
Quản lý đất đai,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,18,18,
Quản lý nhà nước,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,18,"22,5",
Quản lý tài nguyên và môi trường,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,15,18,
Quản trị dịch vụ du lịch và lữ hành,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,17,"23,5",
Quản trị khách sạn,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,17,23,
Tâm lý học giáo dục,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,15,18,
Văn học,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,15,18,
Việt Nam học,,,,,,,,
,,,,,,,,
14,18,15,18,15,18,18,18,
Công nghệ thực phẩm,,,,,,,,
,,,,,,,,
,,15,18,15,18,15,20,
Khoa học vật liệu,,,,,,,,
,,,,,,,,
,,15,18,15,18,15,18,
Kỹ thuật điều khiển và tự động hóa,,,,,,,,
,,,,,,,,
,,15,18,15,18,,20,
Ngôn ngữ Trung Quốc,,,,,,,,
,,,,,,,,
,,15,18,16,18,"19,5","26,5",
Công nghệ kỹ thuật ô tô,,,,,,,,
,,,,,,,,
,,,,18,18,16,"23,5",
Kế toán CLC,,,,,,,,
,,,,,,,,
,,,,,,16,,
Khoa học dữ liệu,,,,,,,,
,,,,,,,,
,,,,,,15,"19,5",
Trí tuệ nhân tạo,,,,,,,,
,,,,,,,,
,,,,,,15,20,
Logistics và quản lý chuỗi cung ứng,,,,,,,,
,,,,,,,,
,,,,,,19,"26,5",
